time_s,timestamp,P,PCP,PWp,PPmax,Eexp_J,Wbal_J,MPA_W,k_strain,SR_total,SR_CP,SR_Wp,SR_Pmax
0,2024-06-02 11:45:18,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
1,2024-06-02 11:45:19,71,71,0,0,0,18147,891,0.19560525799489897,13.887973317637828,13.887973317637828,0,0
2,2024-06-02 11:45:20,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
3,2024-06-02 11:45:21,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
4,2024-06-02 11:45:22,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
5,2024-06-02 11:45:23,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
6,2024-06-02 11:45:24,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
7,2024-06-02 11:45:25,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
8,2024-06-02 11:45:26,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
9,2024-06-02 11:45:27,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
10,2024-06-02 11:45:28,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
11,2024-06-02 11:45:29,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
12,2024-06-02 11:45:30,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
13,2024-06-02 11:45:31,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
14,2024-06-02 11:45:32,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
15,2024-06-02 11:45:33,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
16,2024-06-02 11:45:34,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
17,2024-06-02 11:45:35,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
18,2024-06-02 11:45:36,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
19,2024-06-02 11:45:37,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
20,2024-06-02 11:45:38,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
21,2024-06-02 11:45:39,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
22,2024-06-02 11:45:40,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
23,2024-06-02 11:45:41,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
24,2024-06-02 11:45:42,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
25,2024-06-02 11:45:43,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
26,2024-06-02 11:45:44,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
27,2024-06-02 11:45:45,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
28,2024-06-02 11:45:46,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
29,2024-06-02 11:45:47,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
30,2024-06-02 11:45:48,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
31,2024-06-02 11:45:49,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
32,2024-06-02 11:45:50,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
33,2024-06-02 11:45:51,0,0,0,0,0,18147,891,0.18286867204695523,0,0,0,0
34,2024-06-02 11:45:52,179,179,0,0,0,18147,891,0.21878428790871188,39.16238753565943,39.16238753565943,0,0
35,2024-06-02 11:45:53,179,179,0,0,0,18147,891,0.21878428790871188,39.16238753565943,39.16238753565943,0,0
36,2024-06-02 11:45:54,143,143,0,0,0,18147,891,0.21047076208570825,30.09731897825628,30.09731897825628,0,0
37,2024-06-02 11:45:55,90,90,0,0,0,18147,891,0.19932027189124352,17.938824470211916,17.938824470211916,0,0
38,2024-06-02 11:45:56,139,139,0,0,0,18147,891,0.20958587344965315,29.13243640950179,29.13243640950179,0,0
39,2024-06-02 11:45:57,195,195,0,0,0,18147,891,0.22269376814831363,43.425284788921154,43.425284788921154,0,0
40,2024-06-02 11:45:58,161,161,0,0,0,18147,891,0.21454701958252637,34.54207015278674,34.54207015278674,0,0
41,2024-06-02 11:45:59,276,199.4,68.11596298438403,8.48403701561596,0,18147,891,0.24484282907662083,67.57662082514734,48.821660117878196,16.67770508237497,2.077255624894183
42,2024-06-02 11:46:00,294,199.4,81.66020821283979,12.939791787160207,76.6,18070.4,888.0806987380835,0.2540423170039133,74.6884411991505,50.65603801058031,20.74514850141181,3.287254687158387
43,2024-06-02 11:46:01,356,199.4,121.14083285135916,35.45916714864083,171.2,17975.8,884.475399790599,0.28039842076443494,99.82183779213884,55.91144510042833,33.96769822160949,9.94269447010102
44,2024-06-02 11:46:02,214,199.4,14.291787160208207,0.30821283979178693,327.79999999999995,17819.2,878.5072199261587,0.2417763350911015,51.74013570949572,48.21020121716564,3.455415921497201,0.07451857083287906
45,2024-06-02 11:46:03,623,199.4,164.14806246385194,259.4519375361481,342.4,17804.6,877.9507995811979,0.4545340188677838,283.1746937546293,90.63408336223608,74.61087852105463,117.92973187133859
46,2024-06-02 11:46:04,129,129,0,0,766,17381,861.8069873808342,0.23777097214392112,30.672455406565824,30.672455406565824,0,0
47,2024-06-02 11:46:05,292,199.4,80.20156159629843,12.39843840370156,763.0341139961898,17383.96588600381,861.9200202105161,0.2861723193756061,83.56231725767698,57.06276048349586,22.951466899558262,3.5480898746228626
48,2024-06-02 11:46:06,271,199.4,64.18739155581261,7.41260844418739,855.6341139961899,17291.36588600381,858.3909432280947,0.2831450534194598,76.7323094766736,56.45912365184028,18.174342410926343,2.098843413906977
49,2024-06-02 11:46:07,230,199.4,29.2460960092539,1.3539039907460955,927.2341139961899,17219.76588600381,855.6621968788359,0.2728240389599769,62.74952896079469,54.4011133686194,7.979038037055911,0.369377555119381
50,2024-06-02 11:46:08,154,154,0,0,957.8341139961899,17189.16588600381,854.4960008133705,0.25192652625654577,38.79668504350805,38.79668504350805,0,0
51,2024-06-02 11:46:09,214,199.4,14.291787160208207,0.30821283979178693,955.4408083212184,17191.55919167878,854.587212044142,0.2690698173845938,57.58094092030307,53.65252158648801,3.8454885612967047,0.08293077251836317
52,2024-06-02 11:46:10,279,199.4,70.4384037015616,9.161596298438402,970.0408083212184,17176.959191678783,854.0307916991815,0.2913103380586869,81.27558431837365,58.087281408902165,20.51943519461617,2.6688677148553053
