"Month","Model","CP","CP_SE","CP_L","CP_U","Wprime","Wprime_SE","Wprime_L","Wprime_U","Pmax","Pmax_SE","Pmax_L","Pmax_U","RMSE"
"Jan-24","Morton (k=1)",193.101033427693,18.4215541226998,156.994787347202,229.207279508185,21850.2653226466,4103.91440644474,13806.5930860149,29893.9375592783,998.945636546709,56.9554744076683,887.31290670768,1110.57836638574,28.5461877678729
"Jan-24","Xert (k=2)",199.446732733177,13.2205534329246,173.534448004645,225.359017461709,18147.2837786945,2119.66037653741,13992.7494406812,22301.8181167079,891.515711009917,31.0890573564472,830.58115859128,952.450263428554,23.0083796285989
"Feb-24","Morton (k=1)",196.558846022051,9.77515430875601,177.399543576889,215.718148467213,15654.1039462882,1751.40425688398,12221.3516027956,19086.8562897808,1072.02292230482,42.6157705694186,988.496011988763,1155.54983262088,16.4364228128123
"Feb-24","Xert (k=2)",200.301195903443,6.8883673832332,186.799995832306,213.802395974581,13713.481896701,941.302874405283,11868.5282628666,15558.4355305353,922.083154442039,19.3879684019896,884.08273637414,960.083572509939,12.6065807147093
"Mar-24","Morton (k=1)",259.680945907509,6.31005516819972,247.313237777837,272.04865403718,12025.3090842611,933.463243227977,10195.7211275342,13854.8970409879,1313.92404927158,44.4189500421934,1226.86290718888,1400.98519135428,11.2927183596524
"Mar-24","Xert (k=2)",262.866082274666,6.14609956906201,250.819727119304,274.912437430028,10839.0269920848,735.374382082932,9397.6932032023,12280.3607809674,1085.753281935,24.139965382169,1038.43894978594,1133.06761408405,11.6727759656748
"Apr-24","Morton (k=1)",238.424297436514,4.17174422289041,230.247678759649,246.600916113379,16758.0294284465,769.717760230765,15249.3826183942,18266.6762384988,1120.56776366559,17.215141924024,1086.8260854945,1154.30944183668,6.94260777549439
"Apr-24","Xert (k=2)",244.413915759283,3.44821796933646,237.655408539384,251.172422979182,14196.245695364,474.698402351969,13265.8368267541,15126.6545639738,979.002940600279,9.59669324959861,960.193421831065,997.812459369492,6.29692786202162
"May-24","Morton (k=1)",204.729125768771,24.4748387948405,156.758441730884,252.699809806659,21744.9036165931,5402.12800967358,11156.7327176328,32333.0745155533,1019.97959985905,76.6078527981781,869.828208374622,1170.13099134348,38.0679300789628
"May-24","Xert (k=2)",209.533701259161,18.4561304383703,173.359685599955,245.707716918366,18429.6599879571,2969.0982875584,12610.2273443426,24249.0926315715,908.158003885724,43.2747388564379,823.339515727106,992.976492044343,32.083538980808
"Jun-24","Morton (k=1)",216.587897887809,13.4533394162844,190.219352631891,242.956443143726,21824.3047285081,3152.7537061997,15644.9074643567,28003.7019926595,953.494057714513,38.9847685937871,877.08391127069,1029.90420415834,20.4194063514969
"Jun-24","Xert (k=2)",225.884245627803,10.6287574902597,205.051880946894,246.716610308713,17262.8383989235,1734.01336974034,13864.1721942324,20661.5046036145,864.324862747847,24.6277081260327,816.054554820823,912.595170674871,18.3889206626181
"Jul-24","Morton (k=1)",241.4,12.4850338410917,216.92933367146,265.87066632854,6624,5531.54363914146,-4217.82553271726,17465.8255327173,324.87,18.3376181816516,288.928268363963,360.811731636037,13.6656756740254
"Jul-24","Xert (k=2)",241.4,9.69923861916083,222.389492306445,260.410507693555,6624,3273.69418078276,207.559405665802,13040.4405943342,324.87,12.2929140762157,300.775888410617,348.964111589383,11.9777456988913
"Aug-24","Morton (k=1)",261.9,8.63323210479022,244.978865074611,278.821134925389,5316,3146.2019720376,-850.555865193701,11482.5558651937,351.12,15.4890118676133,320.761536739478,381.478463260522,10.5962372791874
"Aug-24","Xert (k=2)",261.9,6.77573165024263,248.619565965524,275.180434034476,5316,1875.19095027879,1640.62573745357,8991.37426254643,351.12,10.3952260614969,330.745356919466,371.494643080534,9.33630553443886
"Sep-24","Morton (k=1)",265.223853222612,8.2339984753133,249.085216210998,281.362490234226,15184.090273141,1425.96033144741,12389.208023504,17978.9725227779,1178.13007438955,38.4367483495526,1102.79404762443,1253.46610115467,14.0077646767418
"Sep-24","Xert (k=2)",268.974176725687,5.89608657167847,257.417847045197,280.530506406177,13359.2839405627,785.676263275212,11819.3584645432,14899.2094165821,1015.61546686163,17.3079032811994,981.691976430475,1049.53895729278,10.8699533649141
"Oct-24","Morton (k=1)",295.1,6.55864252631599,282.245060648421,307.954939351579,4980,2302.97712567318,466.164833680564,9493.83516631944,383.46,12.2215529915462,359.505756136569,407.41424386343,8.21437816892492
"Oct-24","Xert (k=2)",295.1,6.17590556751389,282.995225087673,307.204774912327,4980,1643.81446871018,1758.12364132805,8201.87635867195,383.46,9.80794992843385,364.23641814027,402.68358185973,8.68262034561736
"Nov-24","Morton (k=1)",243.4,11.768239832002,220.334249929276,266.465750070724,6204,4749.21094002178,-3104.45344244269,15512.4534424427,332.955,19.0269967438785,295.662086381998,370.247913618002,13.6301177330112
"Nov-24","Xert (k=2)",243.4,9.79650583857353,224.198848556396,262.601151443604,6204,3011.02889386611,302.383368022428,12105.6166319776,332.955,13.626275682972,306.247499661375,359.662500338625,12.7579582081743
"Dec-24","Morton (k=1)",200.158361798093,5.48932134206713,189.399291967642,210.917431628545,12306.4577796904,779.736169705974,10778.1748870667,13834.7406723142,1407.41207498797,44.5100077758736,1320.17245974726,1494.65169022868,9.94420893515185
"Dec-24","Xert (k=2)",202.240941570305,4.23977026674976,193.930991847476,210.550891293135,11384.7939900647,497.766503254732,10409.1716436854,12360.416336444,1125.19443343263,18.0997674026941,1089.71888932335,1160.66997754191,8.09237985354983
"Jan-25","Morton (k=1)",174.466056145122,24.3115533340209,126.815411610441,222.116700679803,30484.386071419,6343.69442036454,18050.7450075045,42918.0271353335,1034.16351777127,62.0402003505217,912.564725084244,1155.76231045829,35.228176805836
"Jan-25","Xert (k=2)",183.47612362805,15.4928518030996,153.110134093974,213.842113162125,24534.7349458969,2834.15847298988,18979.7843388367,30089.685552957,934.80611168343,32.8551435570153,870.41003031168,999.20219305518,25.7232558409079
"Feb-25","Morton (k=1)",236.821226013024,28.6598476751939,180.647924569644,292.994527456404,29020.0858147929,15198.3705819678,-768.720525864002,58808.8921554499,519.583269378277,34.8172731444152,451.341414015224,587.825124741331,27.8426673180247
"Feb-25","Xert (k=2)",268.510472379492,21.5581876956957,226.256424495928,310.764520263055,11712.2832032277,5003.50370092368,1905.41594941727,21519.1504570381,520.959706643055,38.3340980061549,445.824874550991,596.094538735118,32.3937750443781
